Round,Team 1 tm,Team 1 Name,Team 1 Rank,Team 2 tm,Team 2 Name,Team 2 Rank,Winner tm,Winner Name,Winner Rank,Loser tm,Loser Name,Loser Rank,Games Played,Game 1 Team 1 Pts,Game 1 Team 2 Pts,Game 2 Team 1 Pts,Game 2 Team 2 Pts,Game 3 Team 1 Pts,Game 3 Team 2 Pts,Game 4 Team 1 Pts,Game 4 Team 2 Pts,Game 5 Team 1 Pts,Game 5 Team 2 Pts,Game 6 Team 1 Pts,Game 6 Team 2 Pts,Game 7 Team 1 Pts,Game 7 Team 2 Pts
e-round-1,CLE,Cleveland Cavaliers,1,ORL,Orlando Magic,8,ORL,Orlando Magic,8,CLE,Cleveland Cavaliers,1,6,115,101,113,110,115,120,100,104,107.0,109.0,102.0,109.0,,
e-round-1,IND,Indiana Pacers,4,DET,Detroit Pistons,5,DET,Detroit Pistons,5,IND,Indiana Pacers,4,5,118,110,105,123,104,109,109,113,105.0,109.0,,,,
e-round-1,NYK,New York Knicks,3,MIL,Milwaukee Bucks,6,MIL,Milwaukee Bucks,6,NYK,New York Knicks,3,6,83,122,109,104,113,110,105,112,91.0,114.0,101.0,104.0,,
e-round-1,BOS,Boston Celtics,2,ATL,Atlanta Hawks,7,BOS,Boston Celtics,2,ATL,Atlanta Hawks,7,4,109,105,130,109,114,107,129,116,,,,,,
w-round-1,OKC,Oklahoma City Thunder,1,LAC,Los Angeles Clippers,8,OKC,Oklahoma City Thunder,1,LAC,Los Angeles Clippers,8,5,113,94,110,112,112,95,116,111,123.0,103.0,,,,
w-round-1,LAL,Los Angeles Lakers,4,MEM,Memphis Grizzlies,5,MEM,Memphis Grizzlies,5,LAL,Los Angeles Lakers,4,5,101,106,108,110,114,110,116,130,96.0,117.0,,,,
w-round-1,DEN,Denver Nuggets,3,MIN,Minnesota Timberwolves,6,DEN,Denver Nuggets,3,MIN,Minnesota Timberwolves,6,5,112,106,103,119,115,92,110,105,115.0,108.0,,,,
w-round-1,HOU,Houston Rockets,2,GSW,Golden State Warriors,7,GSW,Golden State Warriors,7,HOU,Houston Rockets,2,5,101,109,92,108,109,99,97,118,97.0,117.0,,,,
e-round-2,ORL,Orlando Magic,8,DET,Detroit Pistons,5,DET,Detroit Pistons,5,ORL,Orlando Magic,8,6,106,113,113,108,116,122,113,107,101.0,106.0,102.0,104.0,,
e-round-2,MIL,Milwaukee Bucks,6,BOS,Boston Celtics,2,BOS,Boston Celtics,2,MIL,Milwaukee Bucks,6,5,109,118,114,108,91,99,100,110,88.0,120.0,,,,
w-round-2,OKC,Oklahoma City Thunder,1,MEM,Memphis Grizzlies,5,OKC,Oklahoma City Thunder,1,MEM,Memphis Grizzlies,5,5,108,107,122,86,110,106,95,115,120.0,109.0,,,,
w-round-2,DEN,Denver Nuggets,3,GSW,Golden State Warriors,7,GSW,Golden State Warriors,7,DEN,Denver Nuggets,3,5,96,115,103,115,113,109,102,109,113.0,123.0,,,,
e-round-3,DET,Detroit Pistons,5,BOS,Boston Celtics,2,BOS,Boston Celtics,2,DET,Detroit Pistons,5,5,108,110,108,99,112,116,105,121,108.0,117.0,,,,
w-round-3,OKC,Oklahoma City Thunder,1,GSW,Golden State Warriors,7,OKC,Oklahoma City Thunder,1,GSW,Golden State Warriors,7,6,102,105,110,98,116,102,129,102,93.0,109.0,119.0,117.0,,
nba-finals,OKC,Oklahoma City Thunder,1,BOS,Boston Celtics,2,OKC,Oklahoma City Thunder,1,BOS,Boston Celtics,2,6,101,111,105,95,107,102,113,99,102.0,126.0,114.0,109.0,,
