Year,Selection,Pos,Player,Age,Tm,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FGPct,3PPct,FTPct,WS,WS/48,DWS,DBPM,DRtg
2000,1st,G,Gary Payton,31,SEA,52,58,0.897,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,3.5,0.7,104
2000,1st,C,Alonzo Mourning,29,MIA,42,58,0.724,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,5.6,2.2,96
2000,1st,G,Kobe Bryant,21,LAL,33,58,0.569,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,4.5,1.6,98
2000,1st,F,Kevin Garnett,23,MIN,31,58,0.534,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,5.6,1.7,99
2000,1st,F,Tim Duncan,23,SAS,29,58,0.5,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218,6.4,1.8,95
2000,2nd,C,Shaquille O'Neal,27,LAL,29,58,0.5,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,7,2,95
2000,2nd,G,Eddie Jones,28,CHH,27,58,0.466,72,39,20.1,4.8,4.2,2.7,0.7,0.427,0.375,0.864,10.1,0.172,4.4,2,100
2000,2nd,G,Jason Kidd,26,PHO,26,58,0.448,67,39,14.3,7.2,10.1,2,0.4,0.409,0.337,0.829,8.5,0.156,4.8,2,98
2000,2nd,F,Scottie Pippen,34,POR,19,58,0.328,82,33.5,12.5,6.3,5,1.4,0.5,0.451,0.327,0.717,7.8,0.137,4.4,1.7,99
2000,2nd,F,Clifford Robinson,33,PHO,18,58,0.31,80,35.5,18.5,4.5,2.8,1.1,0.8,0.464,0.37,0.782,9.6,0.162,3.9,0.4,101
2000,ORV,G,Eric Snow,26,PHI,21,58,0.362,82,35,7.9,3.2,7.6,1.7,0.1,0.43,0.244,0.712,6.1,0.102,3.7,1.4,102
2000,ORV,F,Karl Malone,36,UTA,16,58,0.276,82,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249,4.5,1.1,100
2000,ORV,F,P.J. Brown,30,MIA,14,58,0.241,80,28.8,9.6,7.5,1.8,0.8,0.8,0.48,0,0.755,6.9,0.143,3.6,0.6,100
2000,ORV,C,Dikembe Mutombo,33,ATL,9,58,0.155,82,36.4,11.5,14.1,1.3,0.3,3.3,0.562,,0.708,9.9,0.16,4.3,1.5,101
2000,ORV,F,Theo Ratliff,26,PHI,9,58,0.155,57,31.5,11.9,7.6,0.6,0.6,3,0.503,,0.771,5.6,0.149,3.3,2,97
2000,ORV,F,Bo Outlaw,28,ORL,8,58,0.138,82,28.4,6,6.4,3,1.4,1.8,0.602,0,0.506,6.8,0.14,4,3.6,99
2000,ORV,F,George Lynch,29,PHI,5,58,0.086,75,32.2,9.6,7.8,1.8,1.6,0.5,0.461,0.417,0.617,5.8,0.116,4.2,1.6,98
2000,ORV,F,Anthony Mason,33,CHH,5,58,0.086,82,38.2,11.6,8.5,4.5,0.9,0.4,0.48,0,0.746,8.9,0.136,3.9,0.7,102
2000,ORV,C,David Robinson,34,SAS,5,58,0.086,80,32,17.8,9.6,1.8,1.2,2.3,0.512,0,0.726,12.7,0.238,6.4,2.7,92
2000,ORV,G,Darrell Armstrong,31,ORL,4,58,0.069,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,8,0.149,3.4,0.9,102
2000,ORV,F,Dale Davis,30,IND,4,58,0.069,74,28.7,10,9.9,0.9,0.7,1.3,0.502,,0.685,7.1,0.161,3.3,0.1,100
2000,ORV,F,Rasheed Wallace,25,POR,4,58,0.069,81,35.1,16.4,7,1.8,1.1,1.3,0.519,0.16,0.704,9.3,0.156,4.7,1,99
2000,ORV,F,Grant Hill,27,DET,3,58,0.052,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185,2.6,0.1,105
2000,ORV,G,Michael Finley,26,DAL,2,58,0.034,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114,1.9,-0.9,108
2000,ORV,G,Kendall Gill,31,NJN,2,58,0.034,76,31,13.1,3.7,2.8,1.8,0.5,0.414,0.256,0.71,3.7,0.076,2.1,0.7,105
2000,ORV,F,Dan Majerle,34,MIA,2,58,0.034,69,33.4,7.3,4.8,3,1.3,0.2,0.403,0.362,0.812,6.1,0.126,3.3,2.1,101
2000,ORV,F,Charles Oakley,36,TOR,2,58,0.034,80,30.4,6.9,6.8,3.2,1.3,0.6,0.418,0.341,0.776,2.2,0.044,2.9,1.1,103
2000,ORV,G,Latrell Sprewell,29,NYK,2,58,0.034,82,40,18.6,4.3,4,1.3,0.3,0.435,0.346,0.866,6.6,0.097,4.1,0.5,102
2000,ORV,F,Kurt Thomas,27,NYK,2,58,0.034,80,24.6,8,6.3,1,0.6,0.5,0.505,0.333,0.781,5.2,0.127,3.4,1.4,99
2000,ORV,F,Chris Webber,26,SAC,2,58,0.034,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179,5,2.1,98
2000,ORV,F,Jerome Williams,26,DET,2,58,0.034,82,25.6,8.4,9.6,0.8,1.2,0.3,0.564,0,0.616,7.6,0.174,3,-0.5,101
2000,ORV,G,Greg Anthony,32,POR,1,58,0.017,82,18.9,6.3,1.6,2.5,0.7,0.1,0.406,0.378,0.772,4.1,0.128,1.8,0.8,103
2000,ORV,G,Mookie Blaylock,32,GSW,1,58,0.017,73,33.7,11.3,3.7,6.7,2,0.3,0.391,0.336,0.705,3.3,0.065,1.4,0.2,108
2000,ORV,F,Horace Grant,34,SEA,1,58,0.017,76,35.4,8.1,7.8,2.5,0.7,0.8,0.444,0,0.721,5.2,0.093,2.5,0.3,105
2000,ORV,G,Allen Iverson,24,PHI,1,58,0.017,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116,3.6,-0.2,102
2000,ORV,C,Ervin Johnson,32,MIL,1,58,0.017,80,26.6,4.8,8.1,0.6,1,1.6,0.516,0,0.605,4.9,0.111,2.6,0.9,103
2000,ORV,F,Tracy McGrady,20,TOR,1,58,0.017,79,31.2,15.4,6.3,3.3,1.1,1.9,0.451,0.277,0.707,6.6,0.129,2.9,0.9,103
2001,1st,C,Dikembe Mutombo,34,TOT,43,58,0.741,75,34.5,10,13.5,1,0.4,2.7,0.484,,0.725,8.1,0.151,4.7,1.3,97
2001,1st,F,Tim Duncan,24,SAS,40,58,0.69,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2,7.1,1.8,94
2001,1st,G,Jason Kidd,27,PHO,39,58,0.672,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,5.4,1.7,97
2001,1st,G,Gary Payton,32,SEA,38,58,0.655,79,41.1,23.1,4.6,8.1,1.6,0.3,0.456,0.375,0.766,10.8,0.16,1.7,-0.7,107
2001,1st,F,Kevin Garnett,24,MIN,24,58,0.414,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176,4.8,1.4,99
2001,2nd,G,Kobe Bryant,22,LAL,26,58,0.448,68,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196,2.2,-0.3,105
2001,2nd,G,Doug Christie,30,SAC,20,58,0.345,81,36.3,12.3,4.4,3.6,2.3,0.6,0.395,0.376,0.897,8.7,0.141,4.4,2.3,99
2001,2nd,F,Bruce Bowen,29,MIA,18,58,0.31,82,32.7,7.6,3,1.6,1,0.6,0.363,0.336,0.609,4.2,0.075,3.7,1.5,100
2001,2nd,C,Shaquille O'Neal,28,LAL,17,58,0.293,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245,3.9,0.7,101
2001,2nd,F,P.J. Brown,31,CHH,13,58,0.224,80,35.1,8.5,9.3,1.6,1,1.2,0.444,0,0.852,8,0.137,4.7,0.9,98
2001,ORV,C,David Robinson,35,SAS,13,58,0.224,80,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246,5.7,2.7,92
2001,ORV,G,Allen Iverson,25,PHI,12,58,0.207,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,4.5,1.1,99
2001,ORV,F,Shawn Marion,22,PHO,12,58,0.207,79,36.2,17.3,10.7,2,1.7,1.4,0.48,0.256,0.81,11.7,0.196,6.4,1.8,93
2001,ORV,G,Eric Snow,27,PHI,12,58,0.207,50,34.8,9.8,3.3,7.4,1.5,0.1,0.418,0.263,0.792,3.8,0.105,2.3,0.9,101
2001,ORV,F,Karl Malone,37,UTA,9,58,0.155,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,4,1.1,100
2001,ORV,C,Theo Ratliff,27,PHI,9,58,0.155,50,36,12.4,8.3,1.2,0.6,3.7,0.499,,0.76,5.2,0.138,3.5,2.7,96
2001,ORV,F,George Lynch,30,PHI,8,58,0.138,82,32.3,8.4,7.2,1.7,1.2,0.4,0.445,0.263,0.719,6.5,0.118,4.2,1.3,99
2001,ORV,G,Michael Finley,27,DAL,6,58,0.103,82,42,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,2.9,-0.5,105
2001,ORV,F,Brian Grant,28,MIA,6,58,0.103,82,33.8,15.2,8.8,1.2,0.7,0.9,0.479,0,0.797,8.7,0.151,5,0.2,97
2001,ORV,F,Anthony Mason,34,MIA,6,58,0.103,80,40.7,16.1,9.6,3.1,1,0.3,0.482,,0.781,11.6,0.171,5.6,1.1,98
2001,ORV,G,Latrell Sprewell,30,NYK,6,58,0.103,77,39.2,17.7,4.5,3.5,1.4,0.4,0.43,0.304,0.783,5.1,0.082,4.6,0.8,99
2001,ORV,F,Scottie Pippen,35,POR,5,58,0.086,64,33.3,11.3,5.2,4.6,1.5,0.5,0.451,0.344,0.739,5.1,0.115,2.7,1.2,101
2001,ORV,C,Antonio Davis,32,TOR,4,58,0.069,78,35,13.7,10.1,1.4,0.3,1.9,0.433,0,0.754,7.2,0.127,3.1,-0.8,102
2001,ORV,F,Bo Outlaw,29,ORL,4,58,0.069,80,31.7,7.3,7.7,2.8,1.3,1.7,0.614,0.5,0.573,7.9,0.15,4,2.6,99
2001,ORV,F,Horace Grant,35,LAL,3,58,0.052,77,31,8.5,7.1,1.6,0.7,0.8,0.462,0,0.775,6.5,0.13,1.7,-0.6,106
2001,ORV,G,Tracy McGrady,21,ORL,3,58,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,3.9,0.5,101
2001,ORV,F,Ruben Patterson,25,SEA,3,58,0.052,76,27.1,13,5,2.1,1.4,0.6,0.494,0.056,0.681,5.5,0.128,1.7,-0.1,105
2001,ORV,F,Clifford Robinson,34,PHO,3,58,0.052,82,33.5,16.4,4.1,2.9,1.1,1,0.422,0.361,0.709,5.4,0.095,3.9,0.4,100
2001,ORV,F,Rasheed Wallace,26,POR,3,58,0.052,77,38.2,19.2,7.8,2.8,1.2,1.8,0.501,0.321,0.766,11,0.18,4.2,1.1,100
2001,ORV,F,Chris Webber,27,SAC,3,58,0.052,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186,5.2,1.4,97
2001,ORV,G,Travis Best,28,IND,2,58,0.034,77,31.9,11.9,2.9,6.1,1.4,0.1,0.44,0.381,0.827,7.2,0.14,2.3,0.6,104
2001,ORV,F,Vince Carter,24,TOR,2,58,0.034,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208,2.6,0.1,104
2001,ORV,G,Bobby Jackson,27,SAC,2,58,0.034,79,20.9,7.2,3.1,2,1.1,0.1,0.439,0.375,0.739,3.1,0.091,2.3,1.3,100
2001,ORV,F,Charles Oakley,37,TOR,2,58,0.034,78,35.5,9.6,9.5,3.4,1,0.6,0.388,0.224,0.836,3.7,0.065,3.5,0.8,101
2001,ORV,F,Kurt Thomas,28,NYK,2,58,0.034,77,27.6,10.4,6.7,0.8,0.8,0.9,0.511,0.333,0.814,8.2,0.185,4.1,1.4,96
2001,ORV,C,Ben Wallace,26,DET,2,58,0.034,80,34.5,6.4,13.2,1.5,1.3,2.3,0.49,0.25,0.336,7,0.121,6,2.5,94
2001,ORV,G,David Wesley,30,CHH,2,58,0.034,82,37.9,17.2,2.7,4.4,1.6,0.2,0.422,0.376,0.799,7.6,0.117,3.4,0,103
2001,ORV,G,Darrell Armstrong,32,ORL,1,58,0.017,75,36.9,15.9,4.6,7,1.8,0.2,0.412,0.355,0.884,8.7,0.151,2.9,0.1,103
2001,ORV,C,Shawn Bradley,28,DAL,1,58,0.017,82,24.4,7.1,7.4,0.5,0.4,2.8,0.49,0.167,0.787,6.3,0.151,3.8,2.5,96
2001,ORV,C,Marcus Camby,26,NYK,1,58,0.017,63,33.8,12,11.5,0.8,1,2.2,0.524,0.125,0.667,10.3,0.233,5.5,2.5,91
2001,ORV,G,Sam Cassell,31,MIL,1,58,0.017,76,35.6,18.2,3.8,7.6,1.2,0.1,0.474,0.306,0.858,8.5,0.15,1.4,-1.5,107
2001,ORV,F,Dale Davis,31,POR,1,58,0.017,81,26.7,7.2,7.5,1.3,0.5,0.9,0.497,0,0.632,6.6,0.147,2.8,-0.1,101
2001,ORV,G,Steve Francis,23,HOU,1,58,0.017,80,39.9,19.9,6.9,6.5,1.8,0.4,0.451,0.396,0.817,12.2,0.184,3,0.5,104
2001,ORV,F,Tyrone Hill,32,PHI,1,58,0.017,76,31.1,9.6,9,0.6,0.5,0.4,0.474,0,0.63,5.5,0.111,3.5,-0.8,99
2001,ORV,G,Allan Houston,29,NYK,1,58,0.017,78,36.6,18.7,3.6,2.2,0.7,0.1,0.449,0.381,0.909,7.5,0.126,3.5,-0.1,102
2001,ORV,C,Ervin Johnson,33,MIL,1,58,0.017,82,24.2,3.2,7.5,0.5,0.5,1.2,0.545,,0.538,5.1,0.123,2.5,0.5,101
2001,ORV,G,Eddie Jones,29,MIA,1,58,0.017,63,36.2,17.4,4.6,2.7,1.7,0.9,0.445,0.378,0.844,7.9,0.166,4,2.1,97
2001,ORV,G,Andre Miller,24,CLE,1,58,0.017,82,34.7,15.8,4.4,8,1.5,0.3,0.452,0.266,0.833,8,0.136,1.9,-0.2,106
2001,ORV,F,Dirk Nowitzki,22,DAL,1,58,0.017,82,38.1,21.8,9.2,2.1,1,1.2,0.474,0.387,0.838,14.6,0.224,4.3,0.5,100
2001,ORV,G,John Stockton,38,UTA,1,58,0.017,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,2.6,1.2,103
2002,1st,C,Ben Wallace,27,DET,51,58,0.879,80,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19,7.2,3.3,93
2002,1st,G,Gary Payton,33,SEA,47,58,0.81,82,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2.5,-0.2,107
2002,1st,F,Tim Duncan,25,SAS,40,58,0.69,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,7.1,2.2,96
2002,1st,G,Jason Kidd,28,NJN,37,58,0.638,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,5.8,1.5,98
2002,1st,F,Kevin Garnett,25,MIN,27,58,0.466,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,4.9,1.8,101
2002,2nd,G,Kobe Bryant,23,LAL,32,58,0.552,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,3.8,0.3,103
2002,2nd,C,Dikembe Mutombo,35,PHI,27,58,0.466,80,36.3,11.5,10.8,1,0.4,2.4,0.501,,0.764,9.6,0.158,5.5,1.2,98
2002,2nd,G,Doug Christie,31,SAC,25,58,0.431,81,34.5,12,4.6,4.2,2,0.3,0.46,0.352,0.851,8.6,0.148,4.2,2.2,101
2002,2nd,F,Bruce Bowen,30,SAS,21,58,0.362,59,28.8,7,2.7,1.5,1.1,0.4,0.389,0.378,0.479,1.9,0.054,2.2,1.2,102
2002,2nd,F,Clifford Robinson,35,DET,14,58,0.241,80,35.7,14.6,4.8,2.5,1.1,1.2,0.425,0.378,0.694,4.3,0.073,3.5,0.1,103
2002,ORV,C,Shaquille O'Neal,29,LAL,15,58,0.259,67,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262,4,0.9,99
2002,ORV,G,Eric Snow,28,PHI,12,58,0.207,61,36.5,12.1,3.5,6.6,1.6,0.1,0.442,0.111,0.806,5.5,0.119,2.9,0.9,102
