Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
1st,C,Shaquille O'Neal,0,27,lal,605,605,1,121,0,0,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,2000
1st,G,Gary Payton,0,31,sea,541,605,0.894,95,0,0,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,2000
1st,F,Kevin Garnett,0,23,min,495,605,0.818,77,0,0,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,2000
1st,F,Tim Duncan,0,23,sas,460,605,0.76,48,0,0,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218,2000
1st,G,Jason Kidd,0,26,pho,445,605,0.736,48,0,0,67,39,14.3,7.2,10.1,2,0.4,0.409,0.337,0.829,8.5,0.156,2000
2nd,G,Allen Iverson,0,24,phi,420,605,0.694,52,0,0,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116,2000
2nd,G,Kobe Bryant,0,21,lal,411,605,0.679,45,0,0,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,2000
2nd,F,Karl Malone,0,36,uta,409,605,0.676,51,0,0,82,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249,2000
2nd,C,Alonzo Mourning,0,29,mia,354,605,0.585,0,0,0,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,2000
2nd,F,Grant Hill,0,27,det,342,605,0.565,32,0,0,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185,2000
3rd,F,Chris Webber,0,26,sac,254,605,0.42,8,0,0,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179,2000
3rd,F,Vince Carter,0,23,tor,194,605,0.321,13,0,0,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182,2000
3rd,G,Eddie Jones,0,28,chh,125,605,0.207,2,0,0,72,39,20.1,4.8,4.2,2.7,0.7,0.427,0.375,0.864,10.1,0.172,2000
3rd,C,David Robinson,0,34,sas,91,605,0.15,0,0,0,80,32,17.8,9.6,1.8,1.2,2.3,0.512,0,0.726,12.7,0.238,2000
3rd,G,Stephon Marbury,0,22,njn,53,605,0.088,0,0,0,74,38.9,22.2,3.2,8.4,1.5,0.2,0.432,0.283,0.813,7.4,0.123,2000
ORV,G,John Stockton,0,37,uta,50,605,0.083,0,0,0,82,29.7,12.1,2.6,8.6,1.7,0.2,0.501,0.355,0.86,11.2,0.222,2000
ORV,G,Michael Finley,0,26,dal,49,605,0.081,0,0,0,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114,2000
