Year,Round,Winner,Loser,Winner_Seed,Loser_Seed,Team_1_Win%,Team_1_ORtg,Team_1_DRtg,Team_1_NRtg,Team_2_Win%,Team_2_ORtg,Team_2_DRtg,Team_2_NRtg,Team_1_Conf,Team_2_Conf
2021,Eastern Conf First Round,Milwaukee Bucks,Miami Heat,3,6,0.639,117.68,112.03,5.65,0.556,112.12,111.98,0.13,E,E
2021,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,4,5,0.653,118.39,112.13,6.26,0.583,116.16,113.79,2.37,W,W
2021,Eastern Conf First Round,Brooklyn Nets,Boston Celtics,2,7,0.667,118.91,114.4,4.52,0.5,114.66,113.29,1.37,E,E
2021,Western Conf First Round,Denver Nuggets,Portland Trail Blazers,3,6,0.653,118.04,113.01,5.03,0.583,118.28,116.58,1.7,W,W
2021,Eastern Conf First Round,Philadelphia 76ers,Washington Wizards,1,8,0.681,114.13,108.51,5.62,0.472,111.75,113.63,-1.88,E,E
2021,Western Conf First Round,Utah Jazz,Memphis Grizzlies,1,8,0.722,118.42,108.94,9.48,0.528,112.77,111.77,1.0,W,W
2021,Eastern Conf First Round,Atlanta Hawks,New York Knicks,5,4,0.569,116.28,113.89,2.38,0.569,111.38,108.97,2.41,E,E
2021,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,2,7,0.708,118.01,112.14,5.87,0.583,110.52,107.84,2.68,W,W
2021,Eastern Conf Semifinals,Milwaukee Bucks,Brooklyn Nets,3,2,0.639,117.68,112.03,5.65,0.667,118.91,114.4,4.52,E,E
2021,Eastern Conf Semifinals,Atlanta Hawks,Philadelphia 76ers,5,1,0.569,116.28,113.89,2.38,0.681,114.13,108.51,5.62,E,E
2021,Western Conf Semifinals,Phoenix Suns,Denver Nuggets,2,3,0.708,118.01,112.14,5.87,0.653,118.04,113.01,5.03,W,W
2021,Western Conf Semifinals,Los Angeles Clippers,Utah Jazz,4,1,0.653,118.39,112.13,6.26,0.722,118.42,108.94,9.48,W,W
2021,Western Conf Finals,Phoenix Suns,Los Angeles Clippers,2,4,0.708,118.01,112.14,5.87,0.653,118.39,112.13,6.26,W,W
2021,Eastern Conf Finals,Milwaukee Bucks,Atlanta Hawks,3,5,0.639,117.68,112.03,5.65,0.569,116.28,113.89,2.38,E,E
2021,Finals,Milwaukee Bucks,Phoenix Suns,3,2,0.639,117.68,112.03,5.65,0.708,118.01,112.14,5.87,E,W
2020,Eastern Conf First Round,Milwaukee Bucks,Orlando Magic,1,8,0.767,112.98,103.36,9.62,0.452,109.1,110.28,-1.18,E,E
2020,Eastern Conf First Round,Toronto Raptors,Brooklyn Nets,2,7,0.736,112.02,105.85,6.18,0.486,109.68,110.25,-0.57,E,E
2020,Eastern Conf First Round,Boston Celtics,Philadelphia 76ers,3,6,0.667,114.14,107.79,6.35,0.589,112.09,109.77,2.32,E,E
2020,Eastern Conf First Round,Miami Heat,Indiana Pacers,5,4,0.603,113.29,110.36,2.93,0.616,110.9,108.77,2.12,E,E
2020,Western Conf First Round,Los Angeles Lakers,Portland Trail Blazers,1,8,0.732,112.78,107.14,5.65,0.473,114.26,115.41,-1.15,W,W
2020,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,2,7,0.681,114.66,108.25,6.41,0.573,117.5,112.53,4.97,W,W
2020,Western Conf First Round,Denver Nuggets,Utah Jazz,3,6,0.63,114.06,111.9,2.15,0.611,113.14,110.48,2.66,W,W
2020,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,4,5,0.611,113.71,110.82,2.89,0.611,111.74,109.66,2.09,W,W
2020,Eastern Conf Semifinals,Boston Celtics,Toronto Raptors,3,2,0.667,114.14,107.79,6.35,0.736,112.02,105.85,6.18,E,E
2020,Eastern Conf Semifinals,Miami Heat,Milwaukee Bucks,5,1,0.603,113.29,110.36,2.93,0.767,112.98,103.36,9.62,E,E
2020,Western Conf Semifinals,Denver Nuggets,Los Angeles Clippers,3,2,0.63,114.06,111.9,2.15,0.681,114.66,108.25,6.41,W,W
2020,Western Conf Semifinals,Los Angeles Lakers,Houston Rockets,1,4,0.732,112.78,107.14,5.65,0.611,113.71,110.82,2.89,W,W
2020,Eastern Conf Finals,Miami Heat,Boston Celtics,5,3,0.603,113.29,110.36,2.93,0.667,114.14,107.79,6.35,E,E
2020,Western Conf Finals,Los Angeles Lakers,Denver Nuggets,1,3,0.732,112.78,107.14,5.65,0.63,114.06,111.9,2.15,W,W
2020,Finals,Los Angeles Lakers,Miami Heat,1,5,0.732,112.78,107.14,5.65,0.603,113.29,110.36,2.93,W,E
2019,Eastern Conf First Round,Milwaukee Bucks,Detroit Pistons,1,8,0.732,114.23,105.76,8.47,0.5,109.93,110.13,-0.2,E,E
2019,Eastern Conf First Round,Toronto Raptors,Orlando Magic,2,7,0.707,113.99,108.0,5.99,0.512,109.46,108.82,0.65,E,E
2019,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,3,6,0.622,113.21,110.58,2.64,0.512,110.3,110.36,-0.06,E,E
2019,Eastern Conf First Round,Boston Celtics,Indiana Pacers,4,5,0.598,112.78,108.35,4.43,0.585,110.62,107.23,3.39,E,E
2019,Western Conf First Round,Golden State Warriors,Los Angeles Clippers,1,8,0.695,116.63,110.24,6.39,0.585,113.14,112.33,0.81,W,W
2019,Western Conf First Round,Denver Nuggets,San Antonio Spurs,2,7,0.659,113.76,109.62,4.14,0.585,113.3,111.55,1.75,W,W
2019,Western Conf First Round,Portland Trail Blazers,Oklahoma City Thunder,3,6,0.646,115.45,111.07,4.38,0.598,110.85,107.53,3.31,W,W
2019,Western Conf First Round,Houston Rockets,Utah Jazz,4,5,0.646,116.25,111.43,4.82,0.61,111.35,106.11,5.24,W,W
2019,Eastern Conf Semifinals,Milwaukee Bucks,Boston Celtics,1,4,0.732,114.23,105.76,8.47,0.598,112.78,108.35,4.43,E,E
2019,Eastern Conf Semifinals,Toronto Raptors,Philadelphia 76ers,2,3,0.707,113.99,108.0,5.99,0.622,113.21,110.58,2.64,E,E
2019,Western Conf Semifinals,Golden State Warriors,Houston Rockets,1,4,0.695,116.63,110.24,6.39,0.646,116.25,111.43,4.82,W,W
2019,Western Conf Semifinals,Portland Trail Blazers,Denver Nuggets,3,2,0.646,115.45,111.07,4.38,0.659,113.76,109.62,4.14,W,W
2019,Eastern Conf Finals,Toronto Raptors,Milwaukee Bucks,2,1,0.707,113.99,108.0,5.99,0.732,114.23,105.76,8.47,E,E
2019,Western Conf Finals,Golden State Warriors,Portland Trail Blazers,1,3,0.695,116.63,110.24,6.39,0.646,115.45,111.07,4.38,W,W
2019,Finals,Toronto Raptors,Golden State Warriors,2,1,0.707,113.99,108.0,5.99,0.695,116.63,110.24,6.39,E,W
2018,Eastern Conf First Round,Toronto Raptors,Washington Wizards,1,8,0.72,114.6,106.56,8.03,0.524,109.96,109.41,0.55,E,E
2018,Eastern Conf First Round,Boston Celtics,Milwaukee Bucks,2,7,0.671,108.4,104.65,3.75,0.537,110.67,110.98,-0.31,E,E
2018,Eastern Conf First Round,Philadelphia 76ers,Miami Heat,3,6,0.634,110.28,105.77,4.51,0.537,107.63,107.12,0.51,E,E
2018,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,4,5,0.61,113.58,112.56,1.02,0.585,110.24,108.8,1.44,E,E
2018,Western Conf First Round,Houston Rockets,Minnesota Timberwolves,1,8,0.793,115.48,106.84,8.64,0.573,114.24,111.86,2.38,W,W
2018,Western Conf First Round,Golden State Warriors,San Antonio Spurs,2,7,0.707,114.31,108.43,5.88,0.573,108.49,105.36,3.13,W,W
2018,Western Conf First Round,New Orleans Pelicans,Portland Trail Blazers,6,3,0.585,110.29,109.05,1.24,0.598,109.58,106.93,2.66,W,W
2018,Western Conf First Round,Utah Jazz,Oklahoma City Thunder,5,4,0.585,109.07,104.56,4.51,0.585,111.48,108.02,3.47,W,W
2018,Western Conf Semifinals,Golden State Warriors,New Orleans Pelicans,2,6,0.707,114.31,108.43,5.88,0.585,110.29,109.05,1.24,W,W
2018,Western Conf Semifinals,Houston Rockets,Utah Jazz,1,5,0.793,115.48,106.84,8.64,0.585,109.07,104.56,4.51,W,W
2018,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,2,3,0.671,108.4,104.65,3.75,0.634,110.28,105.77,4.51,E,E
2018,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,4,1,0.61,113.58,112.56,1.02,0.72,114.6,106.56,8.03,E,E
2018,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,4,2,0.61,113.58,112.56,1.02,0.671,108.4,104.65,3.75,E,E
2018,Western Conf Finals,Golden State Warriors,Houston Rockets,2,1,0.707,114.31,108.43,5.88,0.793,115.48,106.84,8.64,W,W
2018,Finals,Golden State Warriors,Cleveland Cavaliers,2,4,0.707,114.31,108.43,5.88,0.61,113.58,112.56,1.02,W,E
2017,Eastern Conf First Round,Boston Celtics,Chicago Bulls,1,8,0.646,111.88,109.16,2.72,0.5,108.04,107.72,0.32,E,E
2017,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,2,7,0.622,114.25,110.99,3.27,0.512,109.33,109.49,-0.16,E,E
2017,Eastern Conf First Round,Toronto Raptors,Milwaukee Bucks,3,6,0.622,113.2,108.68,4.51,0.512,109.92,110.16,-0.23,E,E
2017,Eastern Conf First Round,Washington Wizards,Atlanta Hawks,4,5,0.598,111.98,110.06,1.92,0.524,105.55,106.54,-0.99,E,E
2017,Western Conf First Round,Golden State Warriors,Portland Trail Blazers,1,8,0.817,116.26,104.57,11.69,0.5,110.93,111.46,-0.53,W,W
2017,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,2,7,0.744,111.81,104.25,7.56,0.524,108.59,107.89,0.7,W,W
2017,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,3,6,0.671,115.59,109.96,5.63,0.573,108.95,108.17,0.78,W,W
2017,Western Conf First Round,Utah Jazz,Los Angeles Clippers,5,4,0.622,110.46,106.19,4.27,0.622,113.38,108.88,4.5,W,W
2017,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,2,3,0.622,114.25,110.99,3.27,0.622,113.2,108.68,4.51,E,E
2017,Eastern Conf Semifinals,Boston Celtics,Washington Wizards,1,4,0.646,111.88,109.16,2.72,0.598,111.98,110.06,1.92,E,E
2017,Western Conf Semifinals,Golden State Warriors,Utah Jazz,1,5,0.817,116.26,104.57,11.69,0.622,110.46,106.19,4.27,W,W
2017,Western Conf Semifinals,San Antonio Spurs,Houston Rockets,2,3,0.744,111.81,104.25,7.56,0.671,115.59,109.96,5.63,W,W
2017,Western Conf Finals,Golden State Warriors,San Antonio Spurs,1,2,0.817,116.26,104.57,11.69,0.744,111.81,104.25,7.56,W,W
2017,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,2,1,0.622,114.25,110.99,3.27,0.646,111.88,109.16,2.72,E,E
2017,Finals,Golden State Warriors,Cleveland Cavaliers,1,2,0.817,116.26,104.57,11.69,0.622,114.25,110.99,3.27,W,E
2016,Eastern Conf First Round,Cleveland Cavaliers,Detroit Pistons,1,8,0.695,111.8,105.32,6.48,0.537,106.78,106.19,0.59,E,E
2016,Eastern Conf First Round,Toronto Raptors,Indiana Pacers,2,7,0.683,111.11,106.16,4.95,0.549,105.28,103.51,1.77,E,E
2016,Eastern Conf First Round,Miami Heat,Charlotte Hornets,3,6,0.585,107.01,105.34,1.67,0.585,107.72,105.01,2.71,E,E
2016,Eastern Conf First Round,Atlanta Hawks,Boston Celtics,4,5,0.585,105.75,102.0,3.75,0.585,107.3,104.1,3.2,E,E
2016,Western Conf First Round,Golden State Warriors,Houston Rockets,1,8,0.89,115.18,104.32,10.86,0.5,109.23,109.1,0.13,W,W
2016,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,2,7,0.817,111.04,99.55,11.49,0.512,106.36,108.69,-2.33,W,W
2016,Western Conf First Round,Oklahoma City Thunder,Dallas Mavericks,3,6,0.671,113.76,106.22,7.54,0.512,107.29,107.48,-0.19,W,W
2016,Western Conf First Round,Portland Trail Blazers,Los Angeles Clippers,5,4,0.537,109.55,108.67,0.88,0.646,109.04,104.57,4.47,W,W
2016,Eastern Conf Semifinals,Cleveland Cavaliers,Atlanta Hawks,1,4,0.695,111.8,105.32,6.48,0.585,105.75,102.0,3.75,E,E
2016,Eastern Conf Semifinals,Toronto Raptors,Miami Heat,2,3,0.683,111.11,106.16,4.95,0.585,107.01,105.34,1.67,E,E
2016,Western Conf Semifinals,Golden State Warriors,Portland Trail Blazers,1,5,0.89,115.18,104.32,10.86,0.537,109.55,108.67,0.88,W,W
2016,Western Conf Semifinals,Oklahoma City Thunder,San Antonio Spurs,3,2,0.671,113.76,106.22,7.54,0.817,111.04,99.55,11.49,W,W
